distance	shift	window_size_hrs	clust_metric	value	window_overlap_perc
CID-DTW	150	5	silhouette	0.320771805648719	50
CID-DTW	150	5	Calinkski-Harabasz	2840.86169301442	50
CID-DTW	150	5	entropy	1.00979334546309	50
CID-DTW	150	5	Dunn	0.981314739806846	50
CID-DTW	157	3.5	cluster	3	25
CID-DTW	157	3.5	totWSS	39376680.7764279	25
CID-DTW	157	3.5	totBSS/totSS	0.719874762466627	25
CID-DTW	157	3.5	silhouette	0.336739404566405	25
CID-DTW	157	3.5	Calinkski-Harabasz	4167.48127364967	25
CID-DTW	157	3.5	entropy	1.02638319424433	25
CID-DTW	157	3.5	Dunn	0.926097966052415	25
CID-DTW	165	5.5	cluster	3	50
CID-DTW	165	5.5	totWSS	25885619.5453196	50
CID-DTW	165	5.5	totBSS/totSS	0.703621333841331	50
CID-DTW	165	5.5	silhouette	0.305089922427952	50
CID-DTW	165	5.5	Calinkski-Harabasz	2099.16891529777	50
CID-DTW	165	5.5	entropy	1.00747127085709	50
CID-DTW	165	5.5	Dunn	0.940424145314673	50
CID-DTW	180	4	cluster	3	25
CID-DTW	180	4	totWSS	28603819.0534086	25
CID-DTW	180	4	totBSS/totSS	0.730489626148563	25
CID-DTW	180	4	silhouette	0.340151815993184	25
CID-DTW	180	4	Calinkski-Harabasz	3356.0137063342	25
CID-DTW	180	4	entropy	1.01595496300417	25
CID-DTW	180	4	Dunn	0.971346453338708	25
CID-DTW	180	6	cluster	3	50
CID-DTW	180	6	totWSS	19555624.6314408	50
CID-DTW	180	6	totBSS/totSS	0.711922578594928	50
CID-DTW	180	6	silhouette	0.299674708195713	50
CID-DTW	180	6	Calinkski-Harabasz	1601.89263143019	50
CID-DTW	180	6	entropy	0.999265646927131	50
CID-DTW	180	6	Dunn	0.96896855362545	50
CID-DTW	225	5	cluster	3	25
CID-DTW	225	5	totWSS	19304784.120637	25
CID-DTW	225	5	totBSS/totSS	0.717660483207425	25
CID-DTW	225	5	silhouette	0.316671770909022	25
CID-DTW	225	5	Calinkski-Harabasz	1872.55912038352	25
CID-DTW	225	5	entropy	1.02478639925578	25
CID-DTW	225	5	Dunn	0.965634736543252	25
CID-DTW	247	5.5	cluster	3	25
CID-DTW	247	5.5	totWSS	16933302.8882582	25
CID-DTW	247	5.5	totBSS/totSS	0.722549334369637	25
CID-DTW	247	5.5	silhouette	0.320379257340728	25
CID-DTW	247	5.5	Calinkski-Harabasz	1611.22223250154	25
CID-DTW	247	5.5	entropy	0.999425143770281	25
CID-DTW	247	5.5	Dunn	1.01076138886196	25
CID-DTW	270	6	cluster	3	25
CID-DTW	270	6	totWSS	12607525.8199322	25
CID-DTW	270	6	totBSS/totSS	0.728799802227186	25
CID-DTW	270	6	silhouette	0.315245691954801	25
CID-DTW	270	6	Calinkski-Harabasz	1107.66846396964	25
CID-DTW	270	6	entropy	1.01298038428968	25
CID-DTW	270	6	Dunn	1.03002416662673	25
CID-DTW	37	1.25	cluster	6	50
CID-DTW	37	1.25	totWSS	13366010.3703512	50
CID-DTW	37	1.25	totBSS/totSS	0.915902223960609	50
CID-DTW	37	1.25	silhouette	0.311139240409631	50
CID-DTW	37	1.25	Calinkski-Harabasz	31089.4218749115	50
CID-DTW	37	1.25	entropy	1.69991982911498	50
CID-DTW	37	1.25	Dunn	0.480116209133666	50
CID-DTW	37	2.5	cluster	4	75
CID-DTW	37	2.5	totWSS	73460442.5903575	75
CID-DTW	37	2.5	totBSS/totSS	0.823614852849853	75
CID-DTW	37	2.5	silhouette	0.316118223321031	75
CID-DTW	37	2.5	Calinkski-Harabasz	21851.6227650457	75
CID-DTW	37	2.5	entropy	1.33407667983995	75
CID-DTW	37	2.5	Dunn	0.692754599053117	75
CID-DTW	45	1.5	cluster	4	50
CID-DTW	45	1.5	totWSS	27225451.4495711	50
CID-DTW	45	1.5	totBSS/totSS	0.837871681657371	50
CID-DTW	45	1.5	silhouette	0.360650848851196	50
CID-DTW	45	1.5	Calinkski-Harabasz	20322.4503562302	50
CID-DTW	45	1.5	entropy	1.33627304307347	50
CID-DTW	45	1.5	Dunn	0.719459070020659	50
CID-DTW	45	3	cluster	4	75
CID-DTW	45	3	totWSS	69637119.4750582	75
CID-DTW	45	3	totBSS/totSS	0.820415459826318	75
CID-DTW	45	3	silhouette	0.300232806088554	75
CID-DTW	45	3	Calinkski-Harabasz	17605.4546918326	75
CID-DTW	45	3	entropy	1.33288692437175	75
CID-DTW	45	3	Dunn	0.70535626106093	75
CID-DTW	52	3.5	cluster	3	75
CID-DTW	52	3.5	totWSS	115114176.282248	75
CID-DTW	52	3.5	totBSS/totSS	0.725744459995616	75
CID-DTW	52	3.5	silhouette	0.339683177304413	75
CID-DTW	52	3.5	Calinkski-Harabasz	13034.5274480838	75
CID-DTW	52	3.5	entropy	1.02865817302242	75
CID-DTW	52	3.5	Dunn	0.933991102077468	75
CID-DTW	56	1.25	cluster	4	25
CID-DTW	56	1.25	totWSS	14556244.6923347	25
CID-DTW	56	1.25	totBSS/totSS	0.850527843255324	25
CID-DTW	56	1.25	silhouette	0.384324592640156	25
